KYTREASNOX,MCALDT,TMYTM
2000002,2015-06-30,2.2813163013967E-02
2000002,2015-07-31,6.3373006700650E-02
2000002,2015-08-31,2.5347299672537E-03
2000002,2015-09-30,-2.0277259585536E-02
2000002,2015-10-30,7.6048796464178E-02
2000002,2015-11-30,1.6478930362911E-01
2000002,2015-12-31,1.7746981132161E-01
2000002,2016-01-29,3.1442741192148E-01
2000002,2016-02-29,3.1949662383736E-01
2000002,2016-03-31,2.0029305647996E-01
2000002,2016-04-29,2.1297257686118E-01
2000002,2016-05-31,3.3472603058457E-01
2000002,2016-06-30,2.6369777462478E-01
2000002,2016-07-29,2.5355146531132E-01
2000002,2016-08-31,3.3218764181069E-01
2000002,2016-09-30,2.7891533257969E-01
2000002,2016-10-31,3.0427698040484E-01
2000002,2016-11-30,4.8442757269463E-01
2000002,2016-12-30,4.9711009769315E-01
2000002,2017-01-31,5.1742426146060E-01
2000002,2017-02-28,6.1388262653110E-01
2000002,2017-03-31,7.5351206995341E-01
2000002,2017-04-28,7.9414508222262E-01
2000002,2017-05-31,9.7198829737220E-01
2000002,2017-06-30,1.0151583662369E+00
2000002,2017-07-31,1.0761011176188E+00
2000002,2017-08-31,9.9230283629478E-01
2000002,2017-09-29,1.0507349753703E+00
2000002,2017-10-31,1.1448278075316E+00
2000002,2017-11-30,1.2591966958252E+00
2000002,2017-12-29,1.3812383269045E+00
2000002,2018-01-31,1.4576048726001E+00
2000002,2018-02-28,1.5431970821424E+00
2000002,2018-03-29,1.7018693177181E+00
2000002,2018-04-30,1.8191156025585E+00
2000002,2018-05-31,1.8953739824642E+00
2000002,2018-06-29,1.9106045572150E+00
2000002,2018-07-31,2.0228429044959E+00
2000002,2018-08-31,2.0940078214014E+00
2000002,2018-09-28,2.1959343733857E+00
2000002,2018-10-31,2.3209771834283E+00
2000002,2018-11-30,2.3488722489008E+00
2000002,2018-12-31,2.3537430400248E+00
2000002,2019-01-31,2.3820942735638E+00
2000002,2019-02-28,2.4279936691251E+00
2000002,2019-03-29,2.3794667460969E+00
