PERMNO,date,TICKER,PRC,SHROUT
11850,2003-09-03,XOM,38.08000,6636855
11850,2003-09-04,XOM,38.16000,6636855
11850,2003-09-05,XOM,37.97000,6636855
11850,2003-09-08,XOM,38.47000,6636855
11850,2003-09-09,XOM,38.11000,6636855
11850,2003-09-10,XOM,38.00000,6636855
11850,2003-09-11,XOM,38.00000,6636855
11850,2003-09-12,XOM,37.73000,6636855
11850,2003-09-15,XOM,37.51000,6636855
11850,2003-09-16,XOM,37.71000,6636855
11850,2003-09-17,XOM,36.84000,6636855
11850,2003-09-18,XOM,37.08000,6636855
11850,2003-09-19,XOM,36.99000,6636855
11850,2003-09-22,XOM,36.72000,6636855
11850,2003-09-23,XOM,37.06000,6636855
11850,2003-09-24,XOM,36.90000,6636855
11850,2003-09-25,XOM,37.15000,6636855
11850,2003-09-26,XOM,36.78000,6636855
11850,2003-09-29,XOM,37.02000,6636855
11850,2003-09-30,XOM,36.60000,6636855
11850,2003-10-01,XOM,37.35000,6636855
11850,2003-10-02,XOM,37.56000,6636855
11850,2003-10-03,XOM,37.75000,6636855
11850,2003-10-06,XOM,38.09000,6636855
11850,2003-10-07,XOM,38.34000,6636855
11850,2003-10-08,XOM,38.04000,6636855
11850,2003-10-09,XOM,37.95000,6636855
11850,2003-10-10,XOM,38.30000,6636855
11850,2003-10-13,XOM,38.48000,6636855
11850,2003-10-14,XOM,38.74000,6636855
11850,2003-10-15,XOM,38.49000,6636855
11850,2003-10-16,XOM,38.91000,6636855
11850,2003-10-17,XOM,38.66000,6636855
11850,2003-10-20,XOM,38.62000,6636855
11850,2003-10-21,XOM,38.35000,6636855
11850,2003-10-22,XOM,37.35000,6636855
11850,2003-10-23,XOM,37.60000,6636855
11850,2003-10-24,XOM,37.85000,6636855
11850,2003-10-27,XOM,37.74000,6636855
11850,2003-10-28,XOM,38.00000,6636855
11850,2003-10-29,XOM,37.81000,6636855
11850,2003-10-30,XOM,36.30000,6636855
11850,2003-10-31,XOM,36.58000,6636855
11850,2003-11-03,XOM,36.68000,6636855
11850,2003-11-04,XOM,36.32000,6636855
11850,2003-11-05,XOM,36.03000,6636855
11850,2003-11-06,XOM,35.92000,6636855
11850,2003-11-07,XOM,35.56000,6636855
11850,2003-11-10,XOM,35.76000,6636855
11850,2003-11-11,XOM,36.05000,6636855
11850,2003-11-12,XOM,36.02000,6636855
11850,2003-11-13,XOM,36.26000,6636855
11850,2003-11-14,XOM,36.00000,6636855
11850,2003-11-17,XOM,35.60000,6636855
11850,2003-11-18,XOM,35.15000,6636855
11850,2003-11-19,XOM,35.44000,6636855
11850,2003-11-20,XOM,35.31000,6636855
11850,2003-11-21,XOM,35.34000,6636855
11850,2003-11-24,XOM,35.56000,6636855
11850,2003-11-25,XOM,35.82000,6636855
11850,2003-11-26,XOM,36.28000,6636855
11850,2003-11-28,XOM,36.20000,6609800
11850,2003-12-01,XOM,36.39000,6609800
11850,2003-12-02,XOM,36.50000,6609800
11850,2003-12-03,XOM,36.54000,6609800
11850,2003-12-04,XOM,37.02000,6609800
11850,2003-12-05,XOM,36.78000,6609800
11850,2003-12-08,XOM,37.40000,6609800
11850,2003-12-09,XOM,37.64000,6609800
11850,2003-12-10,XOM,37.79000,6609800
11850,2003-12-11,XOM,37.91000,6609800
11850,2003-12-12,XOM,38.06000,6609800
11850,2003-12-15,XOM,37.80000,6609800
11850,2003-12-16,XOM,38.47000,6609800
11850,2003-12-17,XOM,38.88000,6609800
11850,2003-12-18,XOM,39.41000,6609800
11850,2003-12-19,XOM,39.60000,6609800
11850,2003-12-22,XOM,39.47000,6609800
11850,2003-12-23,XOM,39.75000,6609800
11850,2003-12-24,XOM,39.83000,6609800
11850,2003-12-26,XOM,40.05000,6609800
11850,2003-12-29,XOM,40.58000,6609800
11850,2003-12-30,XOM,40.68000,6609800
11850,2003-12-31,XOM,41.00000,6609800
11850,2004-01-02,XOM,40.63000,6609800
11850,2004-01-05,XOM,41.58000,6609800
11850,2004-01-06,XOM,41.30000,6609800
11850,2004-01-07,XOM,41.00000,6609800
11850,2004-01-08,XOM,40.90000,6609800
11850,2004-01-09,XOM,40.29000,6609800
11850,2004-01-12,XOM,40.86000,6609800
11850,2004-01-13,XOM,40.68000,6609800
11850,2004-01-14,XOM,40.68000,6609800
11850,2004-01-15,XOM,40.28000,6609800
11850,2004-01-16,XOM,40.50000,6609800
11850,2004-01-20,XOM,40.88000,6609800
11850,2004-01-21,XOM,41.43000,6609800
11850,2004-01-22,XOM,41.28000,6609800
11850,2004-01-23,XOM,41.04000,6609800
11850,2004-01-26,XOM,41.55000,6609800
11850,2004-01-27,XOM,41.19000,6609800
11850,2004-01-28,XOM,40.81000,6609800
11850,2004-01-29,XOM,41.47000,6609800
11850,2004-01-30,XOM,40.79000,6568000
11850,2004-02-02,XOM,40.69000,6568000
11850,2004-02-03,XOM,40.41000,6568000
11850,2004-02-04,XOM,40.35000,6568000
11850,2004-02-05,XOM,40.38000,6568000
11850,2004-02-06,XOM,40.51000,6568000
11850,2004-02-09,XOM,40.73000,6568000
11850,2004-02-10,XOM,41.09000,6568000
11850,2004-02-11,XOM,41.92000,6568000
11850,2004-02-12,XOM,41.91000,6568000
11850,2004-02-13,XOM,41.91000,6568000
11850,2004-02-17,XOM,42.23000,6568000
11850,2004-02-18,XOM,41.80000,6568000
11850,2004-02-19,XOM,41.95000,6568000
11850,2004-02-20,XOM,42.03000,6568000
11850,2004-02-23,XOM,42.58000,6568000
11850,2004-02-24,XOM,42.31000,6568000
11850,2004-02-25,XOM,42.65000,6568000
11850,2004-02-26,XOM,42.31000,6568000
11850,2004-02-27,XOM,42.17000,6568000
11850,2004-03-01,XOM,42.52000,6568000
11850,2004-03-02,XOM,42.04000,6568000
11850,2004-03-03,XOM,41.90000,6568000
11850,2004-03-04,XOM,41.75000,6568000
11850,2004-03-05,XOM,42.49000,6568000
